language,accuracy,precision,recall,f1_score,bleu_score,chrf_score,bertscore_p,bertscore_r,bertscore_f1,rows_evaluated,session_id
Assamese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_assamese_20260525_18a793
Bengali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_bengali_20260525_a56815
Gujarati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_gujarati_20260525_7cdcb7
Hindi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_hindi_20260525_a645a4
Kannada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_kannada_20260525_16ae7e
Malayalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_malayalam_20260525_102444
Marathi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_marathi_20260525_74257a
Odia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_odia_20260525_50aaf5
Punjabi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_punjabi_20260525_e1c3eb
Tamil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_tamil_20260525_db1710
Telugu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,eval_telugu_20260525_ba4262
